file	text	duration	rms
ar_000_ماتفيأوساكايومالثلاث.wav	مات في أوساكا يوم الثلاثاء	3.660	0.14554
ar_001_يُفضلأنيقضيالزوّارمح.wav	يُفضل أن يقضي الزوّار محدودو الوقت وقتَهم في مكان آخر	4.260	0.04107
ar_002_أجلتاكلالاتفياوسلوفا.wav	أجلتا كلا لاتفيا وسلوفاكيا انضمامهما إلى اتفاقية مكافحة التزييف التجارية	7.440	0.02307
ar_003_فرّجميعهمعائدينمنحيث.wav	فرّ جميعهم عائدين من حيث وقعت الحادثة	4.860	0.01801
ar_004_ستستضيفمدينةبكينمراس.wav	ستستضيف مدينة بكين مراسم الافتتاح والاختتام وفعاليات الجليد الداخلية	6.480	0.03167
ar_005_تشهدجلسةالاستماعأيضا.wav	تشهد جلسة الاستماع أيضاً على تحديد تاريخ حق المشتبه فيه في محاكمة سريعة	6.420	0.02210
ar_006_تشملالعقوباتالدوليةم.wav	تشمل العقوبات الدولية منع شراء طائرات جديدة	5.640	0.02716
ar_007_علينافهمالسياقالدافع.wav	علينا فهم السياق الدافع لإنشاء التنظيم لكي نستوعب فرسان المعبد	6.240	0.02706
ar_008_هناكالعديدمنالأشياءا.wav	هناك العديد من الأشياء التي يجب أن تأخذها في الاعتبار قبل وأثناء سفرك إلى مكان ما	7.200	0.03384
ar_009_كانتإحدىالمحطاتالرئي.wav	كانت إحدى المحطات الرئيسية لهنري لويس غيتس فى مسلسل pbs عن عجائب العالم الأفريقي الخاصة	7.680	0.03316
ar_010_تركزكلحلقةمنالبرنامج.wav	تركز كل حلقة من البرنامج على موضوع في كتاب معين ثم تستكشفه من خلال عدة قصص	7.620	0.05036
ar_011_وقدشهدتانكلترافترةًط.wav	وقد شهدت انكلترا فترةً طويلةً من السّلام بعد غزو دانلو	7.380	0.02244
ar_012_معمرورالزمنالعديدمنا.wav	مع مرور الزمن العديد من الكلمات التي أُخِذَت من اللغة الألمانية قد اندمجت كانت هذه بداية حركة التنوير	7.680	0.05124
ar_013_لفحصالضحيةيجبعليكأول.wav	لفحص الضحية يجب عليك أولاً مسح مسرح الجريمة لضمان سلامتك	6.720	0.02421
ar_014_تصنعمعظمأجهزةالتلفاز.wav	تصنع معظم أجهزة التلفاز بطريقة ترضي عامة الجمهور	5.940	0.00665
ar_015_لقدغرقتجميعالسفنباست.wav	لقد غرقت جميع السفن باستثناء طراد بريطاني واحد وغرق وما يقرب من 200 شخص أمريكي وألماني	6.960	0.01624
ar_016_الغولفلعبةيستخدمفيها.wav	الغولف لعبة يستخدم فيها اللاعبون العصيّ لضرب كرات محاولةً لإدخالها في الثقوب	5.220	0.02342
ar_017_كانالملكسيجونغالملكا.wav	كان الملك سيجونغ الملك الرابع لأسرة جوسون وكان أحد أكثر الملوك الذين حظوا بتقدير كبير	6.960	0.01429
ar_018_تبعاًلقياسالأعماقتمإ.wav	تبعاً لقياس الأعماق تم إيجاد الأنقاض بواسطة مركبة يتم التحكم بها عن بعد	5.640	0.02807
ar_019_أناسعيدبأنهناكأناسمس.wav	أنا سعيد بأن هناك أناس مستعدون لمساعدتي	4.980	0.02350
ar_020_تتميزدولةالنرويجعادة.wav	تتميز دولة النرويج عادةً بوجود المضايق والوديان شديدة الانحدار حيث تفسح فجأة الطريق أمام هضبة عالية أو مستوية نوعاً ما	7.980	0.02194
ar_021_تبدأكممراتتهبطمنغيوم.wav	تبدأ كممرات تهبط من غيوم العاصفة وتصبح أعاصيرًا عندما تلمس الأرض	6.120	0.03468
ar_022_تساعدهذهالعلاقاتفيتخ.wav	تساعد هذه العلاقات في تخطيط مرافق الطرق وتصميمها وتشغيلها	4.920	0.02784
ar_023_تتميّزمعظمُالحشراتِب.wav	تتميّز معظمُ الحشراتِ بقُدرتها على ثَني أجنحتِها للخلفِ بطولِ الجسدِ	5.880	0.01699
ar_024_كانتهناكأيضاًقبيلةأخ.wav	كانت هناك أيضاً قبيلة أخرى في جزر تشاتام وهم الماوري الذين هاجروا من نيوزيلندا	7.440	0.03202
ar_025_تمالتعرفعلىهويةالطيا.wav	تم التعرف على هوية الطيار وهي ديلوكريت باتافي قائد سرب الطائرات	6.600	0.03657
ar_026_استخدمفيملاحظاتهكلما.wav	استخدم في ملاحظاته كلماتٍ اعتبرها بعض الآباء مسيئة وقيل إنه استخدم ألفاظاً نابيةً في الصف الدراسي	7.980	0.04290
ar_027_ولدبوبيكفيالعاصمةالك.wav	ولد بوبيك في العاصمة الكرواتية زغرب واشتُهِر أثناء لعبه مع بارتيزان بلغراد	7.440	0.17095
ar_028_قدتكونالحيواناتالبري.wav	قد تكون الحيوانات البرية إما خجولة أو عدوانية قد تكون البيئة باردة أو ساخنة أو معادية	7.020	0.03240
ar_029_تتطلبتأشيراتالطلابعم.wav	تتطلب تأشيرات الطلاب عموماً متطلبات وإجراءات تقديم مختلفة عن تأشيرات السياحة أو العمل العادية	7.620	0.03149
ar_030_تقومالرؤيةأوالقدرةعل.wav	تقوم الرؤية أو القدرة على الإبصار على أعضاء الحس في جهاز الرؤية أو العينين	6.300	0.10157
ar_031_بسببحرارةالنهارقديرى.wav	بسبب حرارة النهار، قد يرى المسافرون السراب الذي يوهم بوجود الماء أو أشياء أخرى	7.020	0.03558
ar_032_يقننالقانونالانتخابي.wav	يقنن القانون الانتخابي الفرنسي الإجراءات بصرامة غير محببة	6.600	0.03460
ar_033_تمنشأةهذهالمتطلباتلت.wav	تم نشأة هذه المتطلبات لتوفير تدفق هجرةٍ مُنظمٍ بين البلدين	5.580	0.03270
ar_034_منالمُقرّرأنيغيبماسا.wav	من المُقرّر أن يغيب ماسا لما تبقى من موسم 2009 على أقل تقدير	5.520	0.18821
ar_035_تفرزالطحالبسماًعصبيا.wav	تفرز الطحالب سماً عصبياً يمكنه شل الأعصاب في البشر والأسماك	5.400	0.01374
ar_036_معوجودهذاالترتيبربما.wav	مع وجود هذا الترتيب ربما تنتهي هذه الحرية	5.280	0.00880
ar_037_وتابعقائلاّهذهالقضيّ.wav	وتابع قائلاّ هذه القضيّة خطيرةٌ كن مطمئناً إلى أن نظامنا يعمل كما ينبغي	5.340	0.02565
ar_038_قبلذاسيمبسونزعملسايم.wav	قبل ذا سيمبسونز عمل سايمون في عدة عروض في مناصب مختلفة	7.920	0.05220
ar_039_وثّقنفسهفيكتابيعودلع.wav	وثّق نفسه في كتاب يعود لعام 1998	5.640	0.07306
ar_040_تتعارضهذهالنظريةمعال.wav	تتعارض هذه النظرية مع الادعاء بأن القمر خال تماماً من النشاط الجيولوجي	6.900	0.10732
ar_041_تدورنظرياتالمحتوىحول.wav	تدور نظريات المحتوى حول إيجاد ما يثير الناس أو يجذبهم	5.340	0.06425
ar_042_يحاولالمتفاوضونتصحيح.wav	يحاول المتفاوضون تصحيح الوضع ولكن مطالب السجناء غير واضحة	5.160	0.00847
ar_043_منالمحتملأنيواجهالمس.wav	من المحتمل أن يواجه المسافرون آفات حيوانية ليسوا على دراية بها في مناطقهم الأصلية	7.800	0.03481
ar_044_إذاوضعتكائناتحيةتحتا.wav	إذا وضعت كائنات حية تحت المجهر فسوف تلاحظ أنها مكوّنة من مربعات أو كرات صغيرة	6.840	0.07426
ar_045_منالمحتملأنيواجهالمس.wav	من المحتمل أن يواجه المسافرون آفات حيوانية ليسوا على دراية بها في مناطقهم الأصلية	7.440	0.03878
ar_046_تعدالقارةالقطبيةالجن.wav	تعد القارة القطبية الجنوبية هي المكان الأبرد على وجه الأرض وتحيط بالقطب الجنوبي	6.720	0.05141
ar_047_يمكنأنتنهارجدرانوسقو.wav	يمكن أن تنهار جدران وسقوف الكهوف الجليدية ويمكن أن تنغلق شقوقها	6.420	0.02698
ar_048_وفيالختامقدمتفرقةرقص.wav	وفي الختام قدمت فرقة رقص نيران الأناضول التركية عرضاً تحت اسم طروادة	7.320	0.03247
ar_049_يعملالعلماءعلىإنشاءِ.wav	يعمل العلماء على إنشاءِ مفاعلٍ يمكنه إنتاج الطاقة بنفس الطريقة	6.360	0.02736
ar_050_أُخليفيذلكالوقتحوالي.wav	أُخلي في ذلك الوقت حوالي 100 من سكان المنطقة	5.100	0.03927
ar_051_قديتأثرالإنسانباستنش.wav	قد يتأثر الإنسان باستنشاق المياه المتأثرة التي وصلت للهواء بواسطة الرياح والأمواج	7.920	0.05502
ar_052_ووفقًالتقاريرفإنّشقّ.wav	ووفقًا لتقارير فإنّ شقّة في شارع مكبيث انفجرت بسبب تسرّب غاز	7.800	0.08470
ar_053_قالبيريبشكلخاصهناكبع.wav	قال بيري بشكل خاص هناك بعض الأماكن في العالم المُعدة بشكل أفضل لخوض التحدي المفروض في تلك الحالة	7.500	0.03620
ar_054_يمكنالجمعبينزيارةالم.wav	يمكن الجمع بين زيارة الموقع بشكل مناسب مع رحلة بالقارب إلى البحيرة	7.860	0.05497
ar_055_وكلمنيخططلزيارةدولةق.wav	وكل من يخطط لزيارة دولة قد تعتبر منطقة حرب فلابد وأن يحصل على تدريب مهني	7.080	0.03731
ar_056_ستسلكسلوكالماءإنهاشف.wav	ستسلك سلوك الماء إنها شفافة تماماً كالماء	4.200	0.02594
ar_057_أعلنتوكالةالأنباءالص.wav	أعلنت وكالة الأنباء الصينية شينوا في وقت سابق عن اختطاف طائرة	5.580	0.01699
ar_058_تستمرهذهالفعالياتعاد.wav	تستمر هذه الفعاليات عادة ما بين ثلاثة وستة أشهر وتقام في مواقع لا تقل مساحتها عن 50 هكتارًا	7.860	0.18045
ar_059_بنىالبابليونلكلإلهمن.wav	بنى البابليون لكل إله من آلهتهم معبداً رئيسياً وكان يُعتبر بيت الإله	6.960	0.05195
ar_060_أنقذتالمروحياتأفردال.wav	أنقذت المروحيات أفرد الطاقم الاثني عشر وكانت الإصابة الوحيدة أنفًا مكسورًا	5.820	0.03685
ar_061_علينافهمالسياقالدافع.wav	علينا فهم السياق الدافع لإنشاء التنظيم لكي نستوعب فرسان المعبد	6.120	0.02720
ar_062_يبلغموسمالسياحةفيمحط.wav	يبلغ موسم السياحة في محطات التلال ذروته عامةً أثناء الصيف الهندي	7.140	0.03723
ar_063_وقالتالشرطةإنهاتشتبه.wav	وقالت الشرطة إنها تشتبه في مسؤولية أحد مقاتلي داعش المزعومين عن الهجوم	7.380	0.03980
ar_064_لميكنالجميعداعماًلتض.wav	لم يكن الجميع داعماً لتضمين مراتب للنساء	5.880	0.00769
ar_065_أكبرقطاعاتالعملهيالخ.wav	أكبر قطاعات العمل هي الخدمات المهنيّة والقطاع الحكومي والماليّة والتجارة والسياحة	7.320	0.09430
ar_066_وقدأظهرمنخلالبحثهأنه.wav	وقد أظهر من خلال بحثه أنه عند إعطاء أحد الهرمونات فإنه سيسرع من نضوج الرئة عند الجنين	6.900	0.02970
ar_067_سيخبركبعضالأطفالالقص.wav	سيخبرك بعض الأطفال القصة مقابل قروش قليلة	5.940	0.02837
ar_068_تتكونالنواةمنجسيمينا.wav	تتكون النواة من جسيمين النيوترونات والبروتونات	5.160	0.02363
ar_069_أُخليفيذلكالوقتحوالي.wav	أُخلي في ذلك الوقت حوالي 100 من سكان المنطقة	4.560	0.02897
ar_070_قديتطلّبذلكمِلءاستما.wav	قد يتطلّب ذلك مِلء استمارة لدى الشرطة المحلية أو زيارة مكاتبَ الهجرة	6.840	0.04293
ar_071_كماأنالفشلفيفعلذلكسي.wav	كما أن الفشل في فعل ذلك سيؤدي إلى عواقب وخيمة اكتئاب النمو ونقص التغذية وفي النهاية الموت	6.900	0.03697
ar_072_وكانتمجموعةفيرجينالت.wav	وكانت مجموعة فيرجين التابعة للسير ريتشارد برانسون قد تقدمت بطلب تم رفضه قبل تأميم البنك	7.740	0.01636
ar_073_معأنحالتهالفيزيائيةق.wav	مع أن حالته الفيزيائية قد تتغير فإن حالته الكيميائية تبقي كما هي	6.000	0.04099
ar_074_لكلبلدٍقوانينهالخاصة.wav	لكل بلدٍ قوانينه الخاصة المتعلقة بأغراض الطوارئ التي يجب أن تتواجد في السيارة	6.960	0.01927
ar_075_ستبدوالكبسولةمثلشهاب.wav	ستبدو الكبسولة مثل شهاب يمر عبر السماء	5.520	0.03046
ar_076_ولميتعرضالزياتلأيإصا.wav	ولم يتعرض الزيات لأي إصابة في الحادث	4.560	0.01497
ar_077_وقددرسعلماءالدينوالف.wav	وقد درس علماء الدين والفلسفة والعلوم الوقت لآلاف السنين	4.980	0.14136
ar_078_عُلمبوجودهافقطبسببتأ.wav	عُلم بوجودها فقط بسبب تأثيرها على تمدد الكون	5.220	0.01381
ar_079_كانالبشريصنعونالعدسا.wav	كان البشر يصنعون العدسات ويستخدمونها للتكبير منذ آلاف وآلاف السنين	6.600	0.02229
ar_080_أثناءزيارةالأديرةيُط.wav	أثناء زيارة الأديرة يُطلب من النساء ارتداء التنانير التي تغطي الركبتين وتغطية أكتافهن أيضاً	7.800	0.04423
ar_081_ساعدتالطبيعةالعسكرية.wav	ساعدت الطبيعة العسكرية للإمبراطورية الرومانية في تطوير التقدم الطبي	4.140	0.02003
ar_082_كماتؤكّدالحكومةالأير.wav	كما تؤكّد الحكومة الأيرلندية على الضرورة الملحّة لتشريعٍ برلمانيٍ لتصحيح الوضع	7.500	0.02369
ar_083_لقدفُقدقبلحواليعشردق.wav	لقد فُقد قبل حوالي عشر دقائق من موعد وصوله إلى الأرض عند اقترابه الثاني	5.640	0.08706
ar_084_قالتالبحريةالأمريكية.wav	قالت البحرية الأمريكية أيضًا أنها تُحَقق في الحادثِ	5.580	0.02508
ar_085_فيحالكنتمسافرًاإلىدو.wav	في حال كنت مسافرًا إلى دولة نامية لأول مرة أو في مكان جديد من العالم فلا تقلل من شأن الصدمة الثقافية المحتملة	7.500	0.04423
ar_086_فقطآثارالكارثةولميكن.wav	فقط آثار الكارثة ولم يكن الاكتئاب والخوف شرطًا في جلسات نشاط بدني منتظمة أسبوعياً	7.620	0.02304
ar_087_إذاأوذيتبينماتحاولتق.wav	إذا أوذيت بينما تحاول تقديم المساعدة فقد تساعد فقط على جعل الأمور أسوء	6.120	0.03700
ar_088_كانتحربالخلافةالإسبا.wav	كانت حرب الخلافة الإسبانية هي الحرب الأولى التي كانت قضيتها المركزية هي ميزان القوى	7.560	0.03813
ar_089_وبالوقتأيضًانقارنمدة.wav	وبالوقت أيضًا نقارن مدة طول الأحداث	5.100	0.03391
ar_090_منالنادرأنترىعائلاتل.wav	من النادر أن ترى عائلات لديهم أطفال لكن تسمح بعض نُزل الشباب بهم في الغرف الخاصة	6.540	0.06429
ar_091_نُقلالمصورإلىمركزرون.wav	نُقل المصور إلى مركز رونالد ريجان الطبي بجامعة كاليفورنيا حيث وافته المنية لاحقاً	7.920	0.04959
ar_092_تمالتعرفعلىهويةالطيا.wav	تم التعرف على هوية الطيار وهي ديلوكريت باتافي قائد سرب الطائرات	7.800	0.03961
ar_093_وكلمنيخططلزيارةدولةق.wav	وكل من يخطط لزيارة دولة قد تعتبر منطقة حرب فلابد وأن يحصل على تدريب مهني	7.440	0.12034
ar_094_اشتبهالعلماءفيكونقمر.wav	اشتبه العلماء في كون قمر زحل إنسيلادوس نشط جيولوجياً ومصدر محتمل لحلقة الإي الجليدية لزحل	7.860	0.03650
ar_095_علىالرغممنأنوينفريكا.wav	على الرغم من أن وينفري كانت متأثرةً في وداعها إلا أنها أوضحت لجمهورها أنها ستعود	6.600	0.03848
ar_096_ومنذذلكالوقتسجّلحجما.wav	ومنذ ذلك الوقت سجّل حجم الاقتصاد الصيني نمواً بلغ 90 مرة	6.720	0.03062
ar_097_كانتقمةالبرجملاذاًآم.wav	كانت قمة البرج ملاذاً آمناً للإله	5.160	0.06792
ar_098_إنالمرضالمعديهوالمرض.wav	إن المرض المعدي هو المرض الذي يسببّه كائن ممرض مثل الفيروسات أو البكتيريا أو الفطريّات أو الطفيليّات الأخرى	7.980	0.05788
ar_099_لميتواجدأحدداخلالشقة.wav	لم يتواجد أحد داخل الشقة	3.540	0.02646
ar_100_تحذيراتالسفرهيمجردمل.wav	تحذيرات السفر هي مجرد ملخصٍ للوضعِ السياسيِّ في بلد ما	6.600	0.04496
